STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER
ABAB,ABB-035,1597.6092,10.478,-16.217,-8.9434,3.909,0.11,2.585,Upper_BTS
ABAB,ABB-035,1597.7616,10.415,-16.286,-11.623,4.497,0.0911,2.599,Upper_BTS
ABAB,ABB-035,1597.914,10.375,-17.098,-10.5306,5.056,0.0873,2.599,Upper_BTS
ABAB,ABB-035,1598.0664,10.334,-17.941,-9.6672,5.423,0.0911,2.589,Upper_BTS
ABAB,ABB-035,1598.2188,10.293,-18.316,-7.5968,5.578,0.0968,2.583,Upper_BTS
ABAB,ABB-035,1598.3712,10.276,-18.614,-4.1894,5.493,0.103,2.583,Upper_BTS
ABAB,ABB-035,1598.5236,10.259,-17.94,-5.398,5.291,0.1067,2.576,Upper_BTS
ABAB,ABB-035,1598.676,10.242,-17.265,-7.5697,4.91,0.107,2.569,Upper_BTS
ABAB,ABB-035,1598.8284,10.251,-17.157,-8.7283,4.421,0.11,2.573,Upper_BTS
ABAB,ABB-035,1598.9808,10.261,-17.048,-6.8279,3.894,0.119,2.572,Upper_BTS
ABAB,ABB-035,1599.1332,10.283,-16.87,-3.8115,3.286,0.1322,2.555,Upper_BTS
ABAB,ABB-035,1599.2856,10.317,-16.645,0.1039,2.733,0.1471,2.534,Upper_BTS
ABAB,ABB-035,1599.438,10.377,-16.42,1.9883,2.304,0.1608,2.496,Upper_BTS
ABAB,ABB-035,1599.5904,10.439,-16.416,5.2937,1.977,0.1813,2.436,Upper_BTS
ABAB,ABB-035,1599.7428,10.685,-16.411,8.9071,1.76,0.2334,2.376,Upper_BTS
ABAB,ABB-035,1599.8952,10.758,-16.474,10.2905,1.701,0.269,2.351,Upper_BTS
ABAB,ABB-035,1600.0476,11.256,-16.619,8.3138,1.651,0.2855,2.283,Upper_BTS
ABAB,ABB-035,1600.2,10.965,-16.825,5.4132,1.721,0.2331,2.287,Upper_BTS
ABAB,ABB-035,1600.3524,10.45,-17.229,1.5526,1.799,0.2227,2.389,Upper_BTS
ABAB,ABB-035,1600.5048,10.283,-18.148,1.342,2.048,0.1743,2.522,Upper_BTS
ABAB,ABB-035,1600.6572,10.258,-19.329,-0.3116,2.319,0.172,2.531,Upper_BTS
ABAB,ABB-035,1600.8096,10.245,-20.901,-3.8292,2.722,0.169,2.531,Upper_BTS
ABAB,ABB-035,1600.962,10.249,-22.38,-5.5567,3.081,0.1633,2.537,Upper_BTS
ABAB,ABB-035,1601.1144,10.252,-23.56,0.9116,3.383,0.1562,2.543,Upper_BTS
ABAB,ABB-035,1601.2668,10.255,-24.11,9.062,3.537,0.1495,2.548,Upper_BTS
ABAB,ABB-035,1601.4192,10.271,-23.266,15.6714,3.427,0.1521,2.552,Upper_BTS
ABAB,ABB-035,1601.5716,10.287,-22,17.7117,3.205,0.1793,2.502,Upper_BTS
ABAB,ABB-035,1601.724,10.307,-20.158,17.7011,2.903,0.2066,2.457,Upper_BTS
ABAB,ABB-035,1601.8764,10.321,-18.659,18.2195,2.574,0.2338,2.428,Upper_BTS
ABAB,ABB-035,1602.0288,10.368,-18.172,15.521,2.277,0.2832,2.39,Upper_BTS
ABAB,ABB-035,1602.1812,11.159,-17.685,23.6944,2.026,0.3325,2.358,Upper_BTS
ABAB,ABB-035,1602.3336,12.283,-18.265,37.7837,1.845,0.3818,2.3,Upper_BTS
ABAB,ABB-035,1602.486,12.757,-18.94,50.524,1.705,0.4312,2.232,Upper_BTS
ABAB,ABB-035,1602.6384,12.952,-18.949,56.1834,1.677,0.4572,2.169,Upper_BTS
ABAB,ABB-035,1602.7908,13.023,-18.959,51.3709,1.648,0.3842,2.134,Upper_BTS
ABAB,ABB-035,1602.9432,12.796,-18.839,44.8163,1.725,0.3113,2.165,Upper_BTS
ABAB,ABB-035,1603.0956,12.438,-18.683,37.0076,1.866,0.2384,2.265,Upper_BTS
ABAB,ABB-035,1603.248,10.846,-18.518,26.165,2.425,0.1655,2.451,Upper_BTS
ABAB,ABB-035,1603.4004,10.253,-18.349,13.9305,2.959,0.1341,2.534,Upper_BTS
ABAB,ABB-035,1603.5528,10.097,-17.814,8.7758,3.854,0.1238,2.518,Upper_BTS
ABAB,ABB-035,1603.7052,10.04,-17.733,5.0482,5.05,0.1387,2.479,Upper_BTS
ABAB,ABB-035,1603.8576,9.984,-19.134,-1.6414,5.984,0.1675,2.463,Upper_BTS
ABAB,ABB-035,1604.01,10.651,-20.396,-6.595,6.339,0.1765,2.436,Upper_BTS
ABAB,ABB-035,1604.1624,11.243,-21.155,-6.7625,6.151,0.176,2.317,Upper_BTS
ABAB,ABB-035,1604.3148,11.177,-21.914,1.1308,5.597,0.1605,2.33,Upper_BTS
ABAB,ABB-035,1604.4672,11.111,-22.809,11.0602,5.101,0.1451,2.445,Upper_BTS
ABAB,ABB-035,1604.6196,10.807,-23.762,21.9175,4.626,0.1426,2.469,Upper_BTS
ABAB,ABB-035,1604.772,10.33,-24.729,32.6478,4.152,0.1583,2.446,Upper_BTS
ABAB,ABB-035,1604.9244,10.258,-26.285,33.5912,3.648,0.1741,2.431,Upper_BTS
ABAB,ABB-035,1605.0768,10.237,-27.84,28.7917,3.319,0.1736,2.424,Upper_BTS
ABAB,ABB-035,1605.2292,10.216,-32.522,23.3721,3.125,0.168,2.433,Upper_BTS
ABAB,ABB-035,1605.3816,10.231,-38.01,20.4096,2.943,0.1628,2.445,Upper_BTS
ABAB,ABB-035,1605.534,10.247,-41.353,24.8639,2.831,0.2054,2.426,Upper_BTS
ABAB,ABB-035,1605.6864,10.271,-43.288,31.9973,2.737,0.2275,2.39,Upper_BTS
ABAB,ABB-035,1605.8388,10.295,-44.602,35.3107,2.654,0.2393,2.355,Upper_BTS
ABAB,ABB-035,1605.9912,10.318,-45.327,37.976,2.571,0.255,2.336,Upper_BTS
ABAB,ABB-035,1606.1436,10.415,-45.565,43.1255,2.444,0.2692,2.35,Upper_BTS
ABAB,ABB-035,1606.296,10.89,-42.805,55.6708,2.315,0.2904,2.379,Upper_BTS
ABAB,ABB-035,1606.4484,11.461,-39.568,67.3881,2.24,0.3625,2.406,Upper_BTS
ABAB,ABB-035,1606.6008,12.057,-35.173,74.2356,2.184,0.398,2.35,Upper_BTS
ABAB,ABB-035,1606.7532,12.241,-29.937,77.743,2.128,0.4165,2.295,Upper_BTS
ABAB,ABB-035,1606.9056,12.058,-25.885,77.8404,2.114,0.391,2.306,Upper_BTS
ABAB,ABB-035,1607.058,11.661,-23.97,73.8778,2.103,0.3734,2.322,Upper_BTS
ABAB,ABB-035,1607.2104,11.338,-22.573,72.7752,2.093,0.3618,2.323,Upper_BTS
ABAB,ABB-035,1607.3628,11.28,-21.393,75.1026,2.092,0.3433,2.328,Upper_BTS
ABAB,ABB-035,1607.5152,11.221,-20.605,77.3099,2.139,0.3187,2.38,Upper_BTS
ABAB,ABB-035,1607.6676,11.316,-20.128,76.1873,2.21,0.3158,2.404,Upper_BTS
ABAB,ABB-035,1607.82,11.394,-19.652,74.0547,2.28,0.3139,2.395,Upper_BTS
ABAB,ABB-035,1607.9724,11.321,-19.624,74.422,2.363,0.3056,2.381,Upper_BTS
ABAB,ABB-035,1608.1248,11.304,-19.596,68.9295,2.456,0.2841,2.387,Upper_BTS
ABAB,ABB-035,1608.2772,11.332,-19.442,62.7869,2.602,0.2759,2.416,Upper_BTS
ABAB,ABB-035,1608.4296,11.352,-19.301,54.5843,2.803,0.2663,2.431,Upper_BTS
ABAB,ABB-035,1608.582,11.314,-19.526,46.5177,3.005,0.2362,2.418,Upper_BTS
ABAB,ABB-035,1608.7344,11.284,-20.901,36.0691,3.206,0.2173,2.445,Upper_BTS
ABAB,ABB-035,1608.8868,11.254,-22.521,25.5875,3.385,0.1974,2.487,BTS
ABAB,ABB-035,1609.0392,11.273,-24.546,24.7229,3.559,0.1785,2.497,BTS
ABAB,ABB-035,1609.1916,11.292,-26.605,31.1022,3.722,0.1835,2.482,BTS
ABAB,ABB-035,1609.344,11.312,-28.022,34.2026,3.873,0.1938,2.462,BTS
ABAB,ABB-035,1609.4964,11.333,-29.174,35.391,3.876,0.2067,2.444,BTS
ABAB,ABB-035,1609.6488,11.335,-30.046,36.9694,3.79,0.2067,2.435,BTS
ABAB,ABB-035,1609.8012,11.327,-29.31,39.0798,3.704,0.2067,2.431,BTS
ABAB,ABB-035,1609.9536,11.319,-29.255,39.9872,3.635,0.2037,2.415,BTS
ABAB,ABB-035,1610.106,11.311,-30.47,37.1856,3.604,0.2023,2.397,BTS
ABAB,ABB-035,1610.2584,11.29,-31.527,35.1389,3.586,0.2108,2.382,BTS
ABAB,ABB-035,1610.4108,11.269,-31.93,35.6884,3.6,0.2087,2.385,BTS
ABAB,ABB-035,1610.5632,11.264,-32.334,45.0256,3.619,0.2067,2.407,BTS
ABAB,ABB-035,1610.7156,11.259,-32.07,47.177,3.69,0.2053,2.426,BTS
ABAB,ABB-035,1610.868,11.253,-30.442,43.6825,3.761,0.2044,2.433,BTS
ABAB,ABB-035,1611.0204,11.248,-29.025,40.8539,3.782,0.2029,2.422,BTS
ABAB,ABB-035,1611.1728,11.243,-28.351,39.2283,3.803,0.2006,2.419,BTS
ABAB,ABB-035,1611.3252,11.238,-27.816,41.3787,3.804,0.1975,2.419,BTS
ABAB,ABB-035,1611.4776,11.234,-27.661,41.7581,3.821,0.1956,2.428,BTS
ABAB,ABB-035,1611.63,11.229,-27.632,42.1385,3.832,0.1987,2.424,BTS
ABAB,ABB-035,1611.7824,11.234,-27.857,43.2409,3.809,0.2064,2.42,BTS
ABAB,ABB-035,1611.9348,11.239,-28.082,44.4242,3.787,0.2116,2.415,BTS
ABAB,ABB-035,1612.0872,11.244,-27.787,46.0266,3.737,0.2172,2.42,BTS
ABAB,ABB-035,1612.2396,11.25,-26.978,47.783,3.629,0.2235,2.418,BTS
ABAB,ABB-035,1612.392,11.265,-26.092,45.9624,3.522,0.2335,2.414,BTS
ABAB,ABB-035,1612.5444,11.28,-24.743,42.2908,3.464,0.2431,2.41,BTS
ABAB,ABB-035,1612.6968,11.285,-24.773,40.2712,3.408,0.2413,2.404,BTS
ABAB,ABB-035,1612.8492,11.29,-25.324,40.7166,3.355,0.2462,2.397,BTS
ABAB,ABB-035,1613.0016,11.248,-25.551,44.333,3.322,0.2478,2.389,BTS
ABAB,ABB-035,1613.154,11.217,-25.412,48.4114,3.288,0.2496,2.375,BTS
ABAB,ABB-035,1613.3064,11.098,-25.007,47.8848,3.259,0.266,2.381,BTS
ABAB,ABB-035,1613.4588,11.109,-24.468,46.2051,3.243,0.2584,2.388,BTS
ABAB,ABB-035,1613.6112,11.119,-23.928,46.7845,3.246,0.2473,2.397,BTS
ABAB,ABB-035,1613.7636,11.123,-23.953,49.2539,3.277,0.2404,2.419,BTS
ABAB,ABB-035,1613.916,11.123,-24.29,52.2703,3.322,0.2336,2.438,BTS
ABAB,ABB-035,1614.0684,11.116,-24.066,50.8777,3.389,0.2272,2.459,BTS
ABAB,ABB-035,1614.2208,11.105,-23.662,46.8961,3.454,0.2145,2.476,BTS
ABAB,ABB-035,1614.3732,11.085,-23.709,42.5675,3.429,0.2021,2.479,BTS
ABAB,ABB-035,1614.5256,11.065,-24.445,38.598,3.404,0.1969,2.481,BTS
ABAB,ABB-035,1614.678,11.03,-25.268,42.4802,3.374,0.1946,2.487,BTS
ABAB,ABB-035,1614.8304,10.994,-25.76,48.3446,3.324,0.2035,2.494,BTS
ABAB,ABB-035,1614.9828,10.941,-25.963,55.072,3.278,0.2191,2.488,BTS
ABAB,ABB-035,1615.1352,10.878,-24.578,57.6194,3.237,0.2254,2.477,BTS
ABAB,ABB-035,1615.2876,10.819,-23.177,60.1467,3.199,0.2294,2.458,BTS
ABAB,ABB-035,1615.44,10.768,-21.187,54.4142,3.181,0.2333,2.455,BTS
ABAB,ABB-035,1615.5924,10.717,-20.088,48.0936,3.163,0.2367,2.448,BTS
ABAB,ABB-035,1615.7448,10.638,-20.589,41.106,3.144,0.2273,2.457,BTS
ABAB,ABB-035,1615.8972,10.506,-22.165,32.8655,3.148,0.1974,2.465,BTS
ABAB,ABB-035,1616.0496,10.382,-24.191,34.4938,3.163,0.179,2.455,BTS
ABAB,ABB-035,1616.202,10.314,-24.806,37.1442,3.165,0.1819,2.439,BTS
ABAB,ABB-035,1616.3544,10.246,-25.282,40.3835,3.167,0.1902,2.433,BTS
ABAB,ABB-035,1616.5068,10.199,-25.258,44.8529,3.17,0.1971,2.432,BTS
ABAB,ABB-035,1616.6592,10.143,-23.604,50.7053,3.115,0.2039,2.441,BTS
ABAB,ABB-035,1616.8116,10.064,-22.311,54.1507,3.034,0.2103,2.464,BTS
ABAB,ABB-035,1616.964,9.943,-21.376,57.2681,2.991,0.2251,2.48,BTS
ABAB,ABB-035,1617.1164,9.856,-21.012,59.1554,2.948,0.2294,2.466,BTS
ABAB,ABB-035,1617.2688,9.835,-21.323,54.6729,2.937,0.2336,2.47,BTS
ABAB,ABB-035,1617.4212,9.783,-21.415,50.1923,2.925,0.2484,2.475,BTS
ABAB,ABB-035,1617.5736,9.679,-21.506,44.1677,2.908,0.2524,2.441,BTS
ABAB,ABB-035,1617.726,9.41,-22.38,41.373,2.862,0.2322,2.412,BTS
