STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR,GR_RAW,GR_NORM,GR_RAW_NORM
ABAB,ABB-035,1371.6,,-29.508,22.642,1.069,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1371.7524,,-30.419,22.642,1.078,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1371.9048,,-30.101,22.642,1.088,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1372.0572,,-29.784,22.642,1.107,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1372.2096,,-29.466,22.642,1.127,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1372.362,,-27.617,22.642,1.146,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1372.5144,,-25.768,22.642,1.141,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1372.6668,,-23.919,22.642,1.136,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1372.8192,,-23.559,22.642,1.132,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1372.9716,,-23.199,22.642,1.127,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1373.124,,-22.839,22.642,1.12,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1373.2764,,-24.056,22.642,1.113,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1373.4288,,-25.272,22.642,1.106,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1373.5812,,-25.985,22.642,1.099,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1373.7336,,-26.699,22.642,1.092,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1373.886,,-27.412,22.642,1.069,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1374.0384,,-26.341,22.642,1.046,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1374.1908,,-25.271,22.642,1.023,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1374.3432,,-24.2,22.642,1.0,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1374.4956,,-23.129,22.642,0.977,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1374.648,,-23.184,22.642,0.953,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1374.8004,,-23.239,22.642,0.93,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
