DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER
1371.6,ABAB,ABB-122,,-56.571,69.541,1.108,0.3972,2.19,GUF
1371.7524,ABAB,ABB-122,,-56.205,69.541,1.114,0.3972,2.19,GUF
1371.9048,ABAB,ABB-122,,-55.84,69.541,1.121,0.3972,2.19,GUF
1372.0572,ABAB,ABB-122,,-55.475,69.541,1.128,0.3972,2.19,GUF
1372.2096,ABAB,ABB-122,,-55.624,69.541,1.133,0.3972,2.19,GUF
1372.362,ABAB,ABB-122,,-55.773,69.541,1.138,0.3972,2.19,GUF
1372.5144,ABAB,ABB-122,,-55.921,69.541,1.144,0.3972,2.19,GUF
1372.6668,ABAB,ABB-122,,-56.0719,69.541,1.153,0.3972,2.19,GUF
1372.8192,ABAB,ABB-122,,-56.3097,69.541,1.162,0.3972,2.19,GUF
1372.9716,ABAB,ABB-122,,-56.5484,69.541,1.171,0.3972,2.19,GUF
1373.124,ABAB,ABB-122,,-56.5911,69.541,1.164,0.3972,2.19,GUF
1373.2764,ABAB,ABB-122,,-56.6349,69.541,1.157,0.3972,2.19,GUF
1373.4288,ABAB,ABB-122,,-56.5796,69.541,1.15,0.3972,2.19,GUF
1373.5812,ABAB,ABB-122,,-56.5244,69.541,1.137,0.3972,2.19,GUF
1373.7336,ABAB,ABB-122,,-56.4691,69.541,1.124,0.3972,2.19,GUF
1373.886,ABAB,ABB-122,,-56.4139,69.541,1.111,0.3972,2.19,GUF
1374.0384,ABAB,ABB-122,,-56.1476,69.541,1.098,0.3972,2.19,GUF
1374.1908,ABAB,ABB-122,,-55.8824,69.541,1.08,0.3972,2.19,GUF
1374.3432,ABAB,ABB-122,,-55.6161,69.541,1.062,0.3972,2.19,GUF
1374.4956,ABAB,ABB-122,,-55.3498,69.541,1.045,0.3972,2.19,GUF
1374.648,ABAB,ABB-122,,-55.0836,69.541,1.03,0.3972,2.19,GUF
1374.8004,ABAB,ABB-122,,-54.9473,69.541,1.015,0.3972,2.19,GUF
1374.9528,ABAB,ABB-122,,-54.8131,69.541,1.022,0.3972,2.19,GUF
1375.1052,ABAB,ABB-122,,-54.6768,69.541,1.029,0.3972,2.19,GUF
1375.2576,ABAB,ABB-122,,-54.5416,69.541,1.058,0.3972,2.19,GUF
1375.41,ABAB,ABB-122,,-54.4163,69.541,1.088,0.3972,2.19,GUF
1375.5624,ABAB,ABB-122,,-54.29,69.541,1.125,0.3972,2.19,GUF
1375.7148,ABAB,ABB-122,,-54.1638,69.541,1.163,0.3972,2.19,GUF
1375.8672,ABAB,ABB-122,,-54.0375,69.541,1.203,0.3972,2.19,GUF
1376.0196,ABAB,ABB-122,,-53.7333,69.541,1.265,0.3972,2.19,GUF
1376.172,ABAB,ABB-122,,-53.428,69.541,1.288,0.3972,2.19,GUF
1376.3244,ABAB,ABB-122,,-53.1238,69.541,1.311,0.3972,2.19,GUF
1376.4768,ABAB,ABB-122,,-52.8185,69.541,1.335,0.3972,2.19,GUF
1376.6292,ABAB,ABB-122,,-52.7703,69.541,1.311,0.3972,2.19,GUF
1376.7816,ABAB,ABB-122,,-52.721,69.541,1.288,0.3972,2.19,GUF
1376.934,ABAB,ABB-122,,-52.6717,69.541,1.239,0.3972,2.19,GUF
1377.0864,ABAB,ABB-122,,-53.1475,69.541,1.2,0.3972,2.19,GUF
1377.2388,ABAB,ABB-122,,-53.6232,69.541,1.21,0.3972,2.19,GUF
1377.3912,ABAB,ABB-122,,-54.099,69.541,1.219,0.3972,2.19,GUF
1377.5436,ABAB,ABB-122,,-55.5747,69.541,1.256,0.3972,2.19,GUF
1377.696,ABAB,ABB-122,,-56.7495,69.541,1.294,0.3972,2.19,GUF
1377.8484,ABAB,ABB-122,,-57.9232,69.541,1.333,0.3972,2.19,GUF
1378.0008,ABAB,ABB-122,,-59.0979,69.541,1.388,0.3972,2.19,GUF
1378.1532,ABAB,ABB-122,,-60.1357,69.541,1.446,0.3972,2.19,GUF
1378.3056,ABAB,ABB-122,,-61.1724,69.541,1.492,0.3972,2.19,GUF
1378.458,ABAB,ABB-122,,-62.2102,69.541,1.541,0.3972,2.19,GUF
1378.6104,ABAB,ABB-122,,-62.2989,69.541,1.549,0.3972,2.19,GUF
1378.7628,ABAB,ABB-122,,-62.3877,69.541,1.506,0.3972,2.19,GUF
1378.9152,ABAB,ABB-122,,-62.4774,69.541,1.465,0.3972,2.19,GUF
1379.0676,ABAB,ABB-122,,-61.3982,69.541,1.405,0.3972,2.19,GUF
1379.22,ABAB,ABB-122,,-60.3199,69.541,1.347,0.3972,2.19,GUF
1379.3724,ABAB,ABB-122,,-59.2416,69.541,1.291,0.3972,2.19,GUF
1379.5248,ABAB,ABB-122,,-57.9994,69.541,1.253,0.3972,2.19,GUF
1379.6772,ABAB,ABB-122,,-56.7561,69.541,1.216,0.3972,2.19,GUF
1379.8296,ABAB,ABB-122,,-56.3949,69.541,1.179,0.3972,2.19,GUF
1379.982,ABAB,ABB-122,,-56.0346,69.541,1.168,0.3972,2.19,GUF
1380.1344,ABAB,ABB-122,,-55.6734,69.541,1.156,0.3972,2.19,GUF
1380.2868,ABAB,ABB-122,,-55.3121,69.541,1.144,0.3972,2.19,GUF
1380.4392,ABAB,ABB-122,,-55.8508,69.541,1.138,0.3972,2.19,GUF
1380.5916,ABAB,ABB-122,,-56.3896,69.541,1.132,0.3972,2.19,GUF
1380.744,ABAB,ABB-122,,-56.9293,69.541,1.127,0.3972,2.19,GUF
1380.8964,ABAB,ABB-122,,-57.0321,69.541,1.121,0.3972,2.19,GUF
1381.0488,ABAB,ABB-122,,-57.1358,69.541,1.115,0.3972,2.19,GUF
1381.2012,ABAB,ABB-122,,-57.2386,69.541,1.113,0.3972,2.19,GUF
1381.3536,ABAB,ABB-122,,-56.8963,69.541,1.111,0.3972,2.19,GUF
1381.506,ABAB,ABB-122,,-56.554,69.541,1.109,0.3972,2.19,GUF
1381.6584,ABAB,ABB-122,,-56.2118,69.541,1.107,0.3972,2.19,GUF
1381.8108,ABAB,ABB-122,,-55.8695,69.541,1.111,0.3972,2.19,GUF
1381.9632,ABAB,ABB-122,,-55.1013,69.541,1.114,0.3972,2.19,GUF
1382.1156,ABAB,ABB-122,,-54.333,69.541,1.118,0.3972,2.19,GUF
1382.268,ABAB,ABB-122,,-53.5648,69.541,1.122,0.3972,2.19,GUF
1382.4204,ABAB,ABB-122,,-53.2815,69.541,1.133,0.3972,2.19,GUF
1382.5728,ABAB,ABB-122,,-52.9982,69.541,1.145,0.3972,2.19,GUF
1382.7252,ABAB,ABB-122,,-52.714,69.541,1.156,0.3972,2.19,GUF
1382.8776,ABAB,ABB-122,,-52.6947,69.541,1.168,0.3972,2.19,GUF
1383.03,ABAB,ABB-122,,-52.6745,69.541,1.2,0.3972,2.19,GUF
1383.1824,ABAB,ABB-122,,-52.6542,69.541,1.233,0.3972,2.19,GUF
1383.3348,ABAB,ABB-122,,-52.674,69.541,1.3,0.3972,2.19,GUF
