STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR
ABAB,ABB-138,684.8856,,,66.3223,0.0068,0.6238,3.7613,MEF,
ABAB,ABB-138,685.038,8.8735,1.6875,67.7377,0.0068,0.5474,3.7613,MEF,
ABAB,ABB-138,685.1904,8.8861,1.4514,69.9989,0.0083,0.5691,3.7466,MEF,
ABAB,ABB-138,685.3428,8.8861,0.9097,70.9358,0.0087,0.5969,3.7404,MEF,
ABAB,ABB-138,685.4952,8.8861,0.2014,71.542,0.0075,0.5916,3.7383,MEF,
ABAB,ABB-138,685.6476,8.8861,0.1172,66.1555,0.0077,0.5873,3.7282,MEF,
ABAB,ABB-138,685.8,8.8861,-0.0625,64.1319,0.0056,0.6851,3.7292,MEF,
ABAB,ABB-138,685.9524,8.8861,-0.0625,64.8151,0.0048,0.9434,3.7381,MEF,
ABAB,ABB-138,686.1048,8.8861,-0.0625,69.0635,0.007,1.1661,3.7518,MEF,
ABAB,ABB-138,686.2572,8.8735,-0.0625,71.6938,0.0043,0.9557,3.7686,MEF,
ABAB,ABB-138,686.4096,8.8861,-0.0625,72.4267,0.0057,0.8845,3.7866,MEF,
ABAB,ABB-138,686.562,8.8735,-0.0625,68.6335,0.0067,0.6185,3.8153,MEF,
ABAB,ABB-138,686.7144,8.8861,-0.7708,65.6685,0.0059,0.6742,3.8299,MEF,
ABAB,ABB-138,686.8668,8.8861,-2.9531,67.694,0.0039,0.6545,3.841,MEF,
ABAB,ABB-138,687.0192,8.8735,-3.6667,68.9882,0.0068,0.574,3.8992,MEF,
ABAB,ABB-138,687.1716,8.8481,-4.3611,68.4243,0.0059,0.4798,4.1142,MEF,
ABAB,ABB-138,687.324,8.8354,-5.2222,60.5145,0.0041,0.4754,4.3731,MEF,
ABAB,ABB-138,687.4764,8.8354,-6.3403,56.0729,0.0051,0.5079,4.5582,MEF,
ABAB,ABB-138,687.6288,8.8354,-7.9931,53.6433,0.0057,0.6512,4.1789,MEF,
ABAB,ABB-138,687.7812,9.0003,-11.7891,55.5049,0.0117,0.7905,3.5281,MEF,
ABAB,ABB-138,687.9336,8.9115,-15.4306,67.9471,0.0746,0.6302,2.7548,MEF,
ABAB,ABB-138,688.086,9.7991,-19.1528,84.68,0.498,0.5102,2.3589,MEF,
ABAB,ABB-138,688.2384,9.089,-21.8958,97.9302,1.0927,0.4356,2.2017,MEF,
ABAB,ABB-138,688.3908,9.1144,-23.8672,103.8471,1.1022,0.5158,2.2059,MEF,
ABAB,ABB-138,688.5432,9.1905,-26.3611,102.9452,1.1116,0.5098,2.2216,MEF,
ABAB,ABB-138,688.6956,9.4187,-28.9861,100.4997,1.3747,0.5079,2.1649,MEF,
ABAB,ABB-138,688.848,9.4948,-32.1389,100.1861,0.6937,0.4731,2.0568,MEF,
ABAB,ABB-138,689.0004,9.9259,-34.6667,100.9948,0.5923,0.5177,1.9089,MEF,
ABAB,ABB-138,689.1528,10.8262,-35.5556,108.5002,0.7271,0.5048,1.8512,MEF,
ABAB,ABB-138,689.3052,10.4458,-36.1328,112.3708,0.7938,0.5372,1.8921,MEF,
ABAB,ABB-138,689.4576,10.2303,-36.7014,116.9502,0.8456,0.5237,2.0086,MEF,
ABAB,ABB-138,689.61,10.1795,-37.1736,117.1993,0.8834,0.5016,2.0948,MEF,
ABAB,ABB-138,689.7624,9.9513,-37.5556,116.1039,1.0283,0.4957,2.0276,MEF,
ABAB,ABB-138,689.9148,9.3046,-38.2708,101.3933,1.7757,0.4713,1.8054,MEF,
ABAB,ABB-138,690.0672,9.1397,-39.2361,85.7779,2.5855,0.5922,1.5244,MEF,
ABAB,ABB-138,690.2196,10.4078,-40.7187,73.0454,2.6752,0.698,1.3213,MEF,
ABAB,ABB-138,690.372,11.7265,-41.4028,73.4375,2.9797,0.7929,1.3116,MEF,
ABAB,ABB-138,690.5244,10.7882,-42.1806,81.1568,1.9849,0.7544,1.4765,MEF,
ABAB,ABB-138,690.6768,9.3046,-42.9583,90.9718,1.4803,0.6206,1.7454,MEF,
ABAB,ABB-138,690.8292,8.8101,-43.4306,108.489,1.5831,0.5184,1.9804,MEF,
ABAB,ABB-138,690.9816,8.7593,-43.4063,115.1845,1.8356,0.454,2.1194,MEF,
ABAB,ABB-138,691.134,9.1905,-43.5694,119.1933,1.9941,0.44,2.1696,MEF,
ABAB,ABB-138,691.2864,9.1271,-43.2292,120.7793,1.8853,0.4274,2.192,MEF,
ABAB,ABB-138,691.4388,9.3807,-43.0278,121.7388,1.7095,0.423,2.1938,MEF,
ABAB,ABB-138,691.5912,9.1144,-42.4375,127.667,1.6138,0.459,2.2002,MEF,
ABAB,ABB-138,691.7436,8.8354,-41.1458,123.8089,1.6005,0.4964,2.2093,MEF,
ABAB,ABB-138,691.896,8.4804,-37.6528,120.65,1.455,0.4694,2.1991,MEF,
ABAB,ABB-138,692.0484,8.3155,-35.3611,112.0805,1.1845,0.4112,2.1803,MEF,
ABAB,ABB-138,692.2008,8.3028,-33.875,105.2603,1.3991,0.3833,2.1635,MEF,
ABAB,ABB-138,692.3532,8.2775,-32.8203,108.2251,1.4239,0.3705,2.159,MEF,
ABAB,ABB-138,692.5056,8.3155,-31.6389,105.697,1.2619,0.37,2.1473,MEF,
ABAB,ABB-138,692.658,8.3536,-30.5139,103.6985,1.5122,0.3572,2.1325,MEF,
ABAB,ABB-138,692.8104,8.4043,-28.7431,102.3413,1.5261,0.3598,2.1339,MEF,
ABAB,ABB-138,692.9628,8.5311,-27.2014,100.8237,1.5223,0.3537,2.1443,MEF,
ABAB,ABB-138,693.1152,8.5438,-25.7734,102.6932,1.4166,0.3713,2.1601,MEF,
ABAB,ABB-138,693.2676,8.5057,-27.5764,97.3722,1.4435,0.3393,2.1511,MEF,
ABAB,ABB-138,693.42,8.4423,-28.3889,98.6583,1.3052,0.3488,2.1439,MEF,
ABAB,ABB-138,693.5724,8.3789,-28.3264,97.0935,1.3155,0.3424,2.1249,MEF,
ABAB,ABB-138,693.7248,8.3662,-28.375,96.3725,1.3725,0.3628,2.1164,MEF,
ABAB,ABB-138,693.8772,8.455,-28.1641,95.3932,1.4622,0.3742,2.1002,MEF,
ABAB,ABB-138,694.0296,8.5184,-28.25,96.2253,1.2756,0.3754,2.1062,MEF,
ABAB,ABB-138,694.182,8.5311,-28.4375,97.2317,1.4195,0.3726,2.1234,MEF,
ABAB,ABB-138,694.3344,8.5057,-28.8333,95.8368,1.2632,0.3701,2.1466,MEF,
ABAB,ABB-138,694.4868,8.4804,-29.9722,96.9522,1.3146,0.3766,2.1597,MEF,
ABAB,ABB-138,694.6392,8.5057,-31.25,93.6924,1.5028,0.3438,2.1665,MEF,
ABAB,ABB-138,694.7916,8.4804,-32.1042,97.2231,1.4732,0.3471,2.1724,MEF,
ABAB,ABB-138,694.944,8.4296,-33.0139,99.2503,1.3576,0.3638,2.1716,MEF,
ABAB,ABB-138,695.0964,8.3789,-34.3681,107.3158,1.4254,0.3678,2.1714,MEF,
ABAB,ABB-138,695.2488,8.3282,-36.4167,106.7443,1.5853,0.3951,2.1844,MEF,
ABAB,ABB-138,695.4012,8.3282,-38.9583,107.7472,1.6436,0.3796,2.2083,MEF,
ABAB,ABB-138,695.5536,8.3789,-41.8437,109.2502,1.6903,0.4007,2.2269,MEF,
ABAB,ABB-138,695.706,8.5311,-44.125,115.3638,1.6451,0.395,2.225,MEF,
ABAB,ABB-138,695.8584,8.5184,-45.4028,119.0783,1.4711,0.4059,2.2142,MEF,
ABAB,ABB-138,696.0108,8.5311,-47.1181,117.7206,1.5241,0.401,2.1953,MEF,
ABAB,ABB-138,696.1632,8.5564,-48.2014,116.5898,1.5414,0.4105,2.193,MEF,
ABAB,ABB-138,696.3156,8.6072,-49.4297,121.0474,1.5438,0.4252,2.1937,MEF,
ABAB,ABB-138,696.468,8.6832,-50.5486,120.571,1.2987,0.4153,2.202,MEF,
ABAB,ABB-138,696.6204,8.5184,-50.8125,120.5741,1.1705,0.4209,2.2023,MEF,
ABAB,ABB-138,696.7728,8.4296,-50.8056,117.5996,1.1622,0.4237,2.1951,MEF,
ABAB,ABB-138,696.9252,8.3916,-50.6641,122.7021,1.1439,0.452,2.1961,MEF,
ABAB,ABB-138,697.0776,8.4296,-50.5278,124.2192,1.1734,0.4438,2.2014,MEF,
ABAB,ABB-138,697.23,8.5311,-50.5694,122.0438,1.198,0.4905,2.2125,MEF,
ABAB,ABB-138,697.3824,8.4804,-50.5278,120.0488,1.1057,0.4812,2.2082,MEF,
ABAB,ABB-138,697.5348,8.4804,-50.6319,123.4599,1.1466,0.4875,2.2116,MEF,
ABAB,ABB-138,697.6872,8.6579,-50.8681,126.7905,1.1882,0.4496,2.2288,MEF,
ABAB,ABB-138,697.8396,8.6832,-50.5556,126.0057,1.1927,0.4373,2.2555,MEF,
ABAB,ABB-138,697.992,8.5438,-50.0391,120.8385,1.2022,0.4186,2.2024,MEF,
ABAB,ABB-138,698.1444,8.5564,-48.2847,113.2993,1.215,0.425,2.045,MEF,
ABAB,ABB-138,698.2968,8.5057,-47.6319,100.5259,2.0713,0.4502,1.8717,MEF,
ABAB,ABB-138,698.4492,8.6325,-48.25,97.1776,1.8406,0.5443,1.8211,MEF,
ABAB,ABB-138,698.6016,8.7593,-48.8438,101.7718,1.5739,0.5404,1.9329,MEF,
ABAB,ABB-138,698.754,8.4043,-50.0903,112.449,1.4674,0.463,2.0817,MEF,
ABAB,ABB-138,698.9064,8.4296,-50.1597,119.5244,1.3696,0.4346,2.1752,MEF,
ABAB,ABB-138,699.0588,8.3789,-49.7917,120.3088,1.2578,0.4195,2.1965,MEF,
ABAB,ABB-138,699.2112,8.3536,-48.5903,124.5291,1.1957,0.4399,2.1998,MEF,
ABAB,ABB-138,699.3636,8.3789,-48.4141,124.8632,1.2858,0.4532,2.2119,MEF,
ABAB,ABB-138,699.516,8.3662,-47.9792,124.8692,1.3847,0.4752,2.2282,MEF,
ABAB,ABB-138,699.6684,8.3409,-46.6042,119.8726,1.3836,0.4322,2.245,MEF,
ABAB,ABB-138,699.8208,8.3789,-45.8194,113.602,1.4327,0.3813,2.2465,MEF,
ABAB,ABB-138,699.9732,8.6325,-45.2569,107.2545,1.4628,0.3904,2.2497,MEF,
ABAB,ABB-138,700.1256,8.6579,-44.3906,105.9989,1.5096,0.3823,2.253,MEF,
ABAB,ABB-138,700.278,8.7593,-43.0833,106.6417,1.4368,0.4107,2.2647,MEF,
ABAB,ABB-138,700.4304,8.7086,-41.6597,108.5363,1.3892,0.411,2.2579,MEF,
